"last_name, first_name","player_id","year","player_age","pa","home_run","k_percent","bb_percent","xba","xslg","woba","xwoba","xwobacon","avg_swing_speed","fast_swing_rate","attack_angle","ideal_angle_rate","vertical_swing_path","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","meatball_swing_percent","iz_contact_percent","in_zone_percent","whiff_percent","swing_percent","pull_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent"
"Rodriguez, Eduardo",593958,2026,33,200,4,16.5,11,".254",".431",".283",".338",".359","72.9",35.1,8.8,56.1,33.3,"11",34.5,7.6,9.7,35.2,"78.430970556","93.834658681",60.4,12.9,26.5,29.5,70.5,52.5,62.2,87.1,47.5,18.3,42.6,37.2,44.1,26.9,24.1,4.8
"Keller, Mitch",656605,2026,30,210,3,18.1,7.1,".280",".409",".267",".326",".367","71.8",23.7,7.8,50.5,32.5,"13.3",36.5,5.1,6.4,39.7,"73.892381538","93.875899742",65.2,13.8,30.9,36.3,63.7,51.4,67.7,86.2,48.6,21.3,47.6,32.1,39.7,20.5,30.1,9.6
"Leiter, Jack",683004,2026,26,187,7,26.2,9.6,".254",".437",".344",".338",".416","72.2",23.9,10.6,53.4,33.1,"12.2",38.1,11.9,6.8,42.4,"75.871002542","94.676963761",66.3,20.5,29.7,49.6,50.4,50.9,64,79.5,49.1,29.7,47.7,41.5,43.2,30.5,22.9,3.4
"Roupp, Landen",694738,2026,27,177,1,28.8,10.7,".198",".246",".253",".255",".288","71.6",22.5,11.8,49.4,34.1,"7.8",34.3,0,4.8,23.8,"75.71354549","91.796320686",60.8,13.9,30.1,42.7,57.3,57.7,69.4,86.1,42.3,25.5,43.1,40,55.2,15.2,24.8,4.8
"McLean, Nolan",690997,2026,24,175,3,32.6,6.9,".192",".283",".242",".245",".316","71.1",19.3,7.7,47.4,33.6,"8.7",36.5,5.8,6.7,35.6,"73.138333654","93.298913846",57.8,16.5,27.6,46.6,53.4,50.4,61.8,83.5,49.6,26.3,42.6,36.5,46.2,21.2,26,6.7
"Pérez, Martín",527048,2026,35,137,4,19,8,".252",".411",".277",".325",".361","73.2",36.4,14.1,49.3,33,"9.9",35.7,6.1,7.1,39.8,"77.077801667","94.249000211",61.1,17.2,30.6,28.9,71.1,54.3,80,82.8,45.7,21.6,44.5,56.1,46.9,23.5,22.4,7.1
"Severino, Luis",622663,2026,32,211,5,22.3,13.7,".242",".396",".345",".337",".371","71.9",24.7,6.6,43.5,31,"12.3",34.6,9.8,6,41.4,"78.441039697","94.026660153",63.8,16.2,29.1,34.8,65.2,53.3,78.8,83.8,46.7,22.6,45.3,32.3,44.4,24.8,25.6,5.3
"Martin, Davis",663436,2026,29,192,2,27.1,5.2,".261",".403",".274",".314",".402","72.6",31.9,10.4,56.6,33.9,"12.8",37,7.9,6.3,45.7,"79.893078226","95.001275242",66,15.4,35.7,46.9,53.1,49,77.4,84.6,51,26.1,51.2,39.4,40.9,19.7,32.3,7.1
"Quintana, Jose",500779,2026,37,146,5,11,11,".275",".429",".346",".341",".334","73",29.8,12.2,57.9,33.3,"20.4",34.5,7.1,2.7,33.6,"79.071668727","93.169814455",68.3,13.1,31.3,34.3,65.7,60,84.8,86.9,40,21.7,46.1,46.9,34.5,31.9,23,10.6
"Warren, Will",701542,2026,27,198,6,29.8,6.1,".227",".364",".294",".285",".375","72.3",30.2,8.8,47.7,32.7,"12",34.1,7.1,9.5,41.3,"81.268320635","95.029689365",60.2,15.2,26.5,46.3,53.7,50.9,72,84.8,49.1,24.9,43,38.1,44.4,27.8,21.4,6.3
