Name,Org,Pos,Age,PA,AB,Pitches,xwOBA,wOBA,PS Score,Agg,Contact Quality,Max Velo,xwOBA,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,BA,OBP,SLG,BABIP,PA/Barrels,Barrels,BB,2B,3B,Hits,HR,K,Swings,Whiffs,Swing%,Z-Swing%,Z-Contact%,SwStr%
Jared Jones,PIT,,24,43,40,187,.228,.303,0.9814126394052045,0.6858299515291483,0.487453531598513,0.5004055150040552,0.9739776951672863,0.9321561338289963,0.8234200743494424,0.01858736059479554,0.8912639405204461,0.5557620817843866,0.4340148698884758,0.6737918215613383,0.9702602230483272,0.5631970260223048,0.8931226765799256,0.5924574209245742,0.7685873605947955,0.6821561338289963,0.912639405204461,.169,.286,16.7,7,27.777777777777782,88.1,33.3,37.2,12,35.2,.225,.279,.425,.348,9.3,4,3,5,0,9,1,16,88,31,0.470588,0.611111,0.818182,0.15508
Seth Halvorsen,COL,,25,38,34,155,.221,.289,0.9795539033457249,0.7343894310830518,0.5625000000000001,0.5004055150040552,0.9795539033457249,0.9200743494423792,0.9730483271375465,0.9656133828996283,0.5734200743494424,0.8243494423791822,0.1524163568773234,0.15892193308550187,0.9823420074349443,0.9340148698884758,0.8485130111524164,0.9030819140308192,0.28066914498141265,0.24814126394052044,0.8234200743494424,.172,.206,0,10.5,30.8641975308642,89.7,42.1,39.5,4,33.8,.235,.316,.324,.389,0,0,4,0,0,8,1,15,80,27,0.516129,0.6835439999999999,0.8703700000000001,0.14193499999999998
Andrew Walters,CLE,,24,129,111,541,.261,.281,0.9776951672862454,0.6864495302156414,0.7058550185873607,0.5004055150040552,0.8773234200743495,0.9637546468401487,0.8113382899628253,0.3020446096654275,0.3475836431226766,0.8438661710037175,0.8345724907063197,0.8754646840148699,0.8903345724907064,0.03438661710037175,0.9563197026022305,0.764801297648013,0.06505576208178439,0.9405204460966543,0.9776951672862454,.156,.292,7.1,13.2,31.21019108280255,86,28.6,31.8,23,38.3,.180,.295,.324,.242,3.9,5,17,4,0,20,4,41,269,103,0.49353100000000005,0.72807,0.753012,0.175601
Mason Fluharty,TOR,,24,273,243,1116,.266,.303,0.9758364312267658,0.6856750568575251,0.7409386617100372,0.5004055150040552,0.8494423791821561,0.7881040892193308,0.7397769516728625,0.3643122676579926,0.7379182156133829,0.7769516728624535,0.9237918215613383,0.9358736059479554,0.7574349442379182,0.17657992565055763,0.6775092936802974,0.4671532846715328,0.5594795539033457,0.6412639405204461,0.6747211895910781,.199,.308,6.6,8.8,30.21702838063439,84.6,25.7,27.8,18,29.9,.222,.300,.391,.286,4,11,24,13,2,54,8,76,518,155,0.45696499999999995,0.648799,0.823362,0.127773
Jack Leiter,TEX,,25,328,285,1328,.265,.303,0.9739776951672863,0.6776979812689253,0.6087360594795539,0.5004055150040552,0.8559479553903345,0.895910780669145,0.7741635687732342,0.4312267657992565,0.5594795539033457,0.8652416356877324,0.6301115241635687,0.5994423791821561,0.9284386617100372,0.23048327137546468,0.8615241635687733,0.7120843471208435,0.4052044609665427,0.8178438661710037,0.9182156133828996,.181,.299,6.2,10.7,31.578947368421048,87.2,34.5,33.5,17,34,.218,.311,.372,.310,3.4,11,35,12,1,62,10,110,650,221,0.48685200000000006,0.66881,0.795673,0.155522
Luis Guerrero,BOS,,25,239,197,981,.275,.300,0.9721189591078067,0.7099935203023827,0.828996282527881,0.5004055150040552,0.8048327137546468,0.9107806691449815,0.8949814126394052,0.7388475836431226,0.3299256505576208,0.5539033457249071,0.9014869888475836,0.7806691449814126,0.9172862453531598,0.23048327137546468,0.9563197026022305,0.39416058394160586,0.6078066914498141,0.9237918215613383,0.9479553903345725,.174,.265,4.2,13.4,27.757352941176467,85.1,31.1,33.1,17,38.3,.198,.335,.315,.292,2.1,5,32,3,1,39,6,79,439,168,0.447503,0.641425,0.756944,0.163099
Jeremiah Estrada,SDP,,26,33,29,162,.165,.203,0.9702602230483272,0.7852723307113045,0.8046003717472119,0.5004055150040552,0.9962825278810409,0.9962825278810409,1,0.9656133828996283,0.699814126394052,0.9702602230483272,0.27137546468401486,0.9814126394052045,1,0.047397769516728624,0.9944237918215614,0.9391727493917276,0.03717472118959108,0.9925650557620818,0.9925650557620818,.115,.152,0,9.1,34.52380952380953,88.8,20,60.6,22,44.8,.138,.212,.241,.400,0,0,3,3,0,4,0,20,87,39,0.530864,0.74359,0.637931,0.216049
Brandon Birdsell,CHC,,25,257,237,1016,.273,.335,0.9684014869888475,0.7257153294721471,0.7925185873605949,0.5004055150040552,0.8150557620817844,0.4879182156133829,0.6775092936802974,0.7490706319702602,0.9163568773234201,0.8364312267657993,0.8810408921933085,0.862453531598513,0.7193308550185874,0.5631970260223048,0.699814126394052,0.8426601784266018,0.23605947955390336,0.5594795539033457,0.7825278810408922,.231,.323,4.1,6.6,31.021194605009637,85.5,29,26.8,12,30.2,.291,.342,.426,.394,2.7,7,17,20,0,69,4,69,513,155,0.505387,0.691262,0.831461,0.13712
Daniel Palencia,CHC,,25,171,146,760,.265,.299,0.966542750929368,0.6627506454572771,0.5906133828996283,0.5004055150040552,0.8559479553903345,0.9256505576208178,0.8345724907063197,0.40892193308550184,0.3671003717472119,0.6840148698884758,0.3652416356877323,0.7537174721189591,0.9851301115241635,0.29275092936802977,0.9795539033457249,0.5158150851581509,0.6431226765799256,0.9739776951672863,0.9702602230483272,.171,.282,6.3,12.9,28.894472361809047,88.4,31.6,39.8,16,40.2,.212,.322,.342,.368,2.9,5,22,10,0,31,3,68,351,141,0.46123500000000006,0.637119,0.7304350000000001,0.17214200000000002
Craig Yoho,MIL,,26,60,50,245,.237,.257,0.9646840148698885,0.7805480432267938,0.9797862453531598,0.5004055150040552,0.9563197026022305,0.9814126394052045,0.9869888475836431,0.9656133828996283,0.23141263940520446,0.8197026022304833,0.9814126394052045,0.9851301115241635,0.8447955390334573,0.29275092936802977,0.820631970260223,0.2043795620437956,0.9609665427509294,0.5185873605947955,0.79182156133829,.147,.189,0,15,30.82191780821918,82,18.8,30,16,33,.160,.300,.240,.250,0,0,9,2,1,8,0,18,103,34,0.417004,0.544554,0.836364,0.137652
