Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Brandon Woodruff","MIL",2,1,0,6,6,30,7.5,2.1,1.2,0.23809523809523808,0.71969697,0.298850574,0.085106382,92.29045024671052,3.6,3.0586940021647413,3.9729648272196454,4.440859151631594,0.4945499897003174,"Brandon Woodruff",16162,605540
"Chad Patrick","MIL",2,2,0,9,5,35.1,6.622641747767673,4.3301888350788635,0.5094339805975133,0.28431372549019607,0.79646018,0.346534653,0.040816326,94.48317583869485,3.05660388358508,4.09221790683999,3.813845355827303,5.026493727580284,0.4839506223797798,"Chad Patrick",30113,694477
"Luis Severino","ATH",2,4,0,9,9,48.2,8.691781276116634,5.363013978880476,0.9246575825655994,0.3125,0.7826087,0.435114503,0.104166666,97.19364289314517,4.0684933632886375,4.581361759029818,4.421366722424054,4.471542108528919,0.4753057658672333,"Luis Severino",15890,622663
"Shane Baz","BAL",1,4,0,8,8,44.1,7.714286599328361,3.8571432996641803,1.0150377104379422,0.3358208955223881,0.671875,0.35971223,0.092592592,96.73231710967433,5.481203636364888,4.567822037833875,4.2792306259479345,4.52446604308373,0.47152793407440186,"Shane Baz",22264,669358
"Chase Dollander","COL",3,2,0,9,2,43,9.837209738674153,3.5581396927119275,1.0465116743270375,0.26851851851851855,0.80851064,0.531531531,0.125,99.04022854477611,3.34883735784652,3.417826568150634,3.827228425089382,3.622613467618601,0.4549582302570343,"Chase Dollander",33482,801403
"Tanner Bibee","CLE",0,5,0,9,9,45.1,8.933823779998773,3.573529511999509,1.3897059213331424,0.2926829268292683,0.78544061,0.418604651,0.142857142,94.4261658031088,4.169117763999427,3.7905087158824275,4.385709961145396,3.897038791408609,0.4509432315826416,"Tanner Bibee",30134,676440
"Edward Cabrera","CHC",3,1,0,8,8,46.1,8.352518214836895,2.913669144710545,1.3597122675315876,0.30952380952380953,0.76628352,0.438461538,0.162790697,95.83019415222772,3.884892192947393,4.30910241725954,4.250183084031933,3.5901112819700103,0.4485677182674408,"Edward Cabrera",21690,665795
"Noah Cameron","KCR",2,2,0,7,7,35.2,8.074766930893295,3.532710532265817,1.2616823329520774,0.34513274336283184,0.64705882,0.279661016,0.098039215,92.44197944972827,5.551402264989141,6.392006389658913,4.3119057231516305,4.4985501884485295,0.4331318438053131,"Noah Cameron",30184,702070
"Eduardo Rodriguez","ARI",4,0,0,8,8,48,6.1875,4.125,0.75,0.22695035460992907,0.85877863,0.4375,0.075471698,91.95905539772727,2.25,4.5852001302585546,4.189631493886313,4.657695312953244,0.43067896366119385,"Eduardo Rodriguez",13164,593958
"Kumar Rocker","TEX",1,4,0,8,8,37.1,7.232143103468183,4.098214425298637,0.9642857471290911,0.30701754385964913,0.75875486,0.508474576,0.1,94.82486979166667,4.33928586208091,5.116568565026975,4.338441059662372,4.450982774719498,0.4221276044845581,"Kumar Rocker",31843,677958
"Jack Leiter","TEX",1,3,0,8,8,42.2,10.33593811606992,3.796875226311399,1.4765625880099886,0.32432432432432434,0.73308271,0.418803418,0.170731707,97.19301970108695,4.851562789175676,4.606640703454383,4.348485734593128,3.565827785197083,0.41527894139289856,"Jack Leiter",30146,683004
"Connelly Early","BOS",3,2,0,8,8,42.2,8.226562990341364,3.796875226311399,1.0546875628642776,0.26126126126126126,0.83673469,0.408695652,0.111111111,94.15685671542553,3.1640626885928325,4.69019988123713,4.348485734593128,4.306925229102031,0.3898569643497467,"Connelly Early",33666,813349
"Patrick Corbin","TOR",1,1,0,7,7,34.1,5.766990504847795,2.6213593203853613,0.7864077961156084,0.32407407407407407,0.77405858,0.363636363,0.081081081,91.11932983398438,3.9320389805780422,6.093240334477337,4.183968103378072,4.562213955083872,0.36086514592170715,"Patrick Corbin",9323,571578
"Sonny Gray","BOS",4,1,0,7,7,34,5.5588235294117645,2.1176470588235294,1.0588235294117647,0.2571428571428571,0.78488372,0.47706422,0.108108108,92.16727747542134,3.176470588235294,5.15693644877052,4.194533454670625,4.194134643717724,0.35425153374671936,"Sonny Gray",12768,543243
"Trevor Rogers","BAL",2,4,0,7,7,34.1,7.8640779611560845,3.40776711650097,1.3106796601926807,0.3333333333333333,0.65957447,0.372727272,0.104166666,92.81808483935743,5.766990504847795,4.129629783700424,4.475230250087556,4.546352640959526,0.35197046399116516,"Trevor Rogers",22286,669432
"Nathan Eovaldi","TEX",4,4,0,8,8,47.2,8.874126347581896,1.8881119888472118,1.8881119888472118,0.27692307692307694,0.77777778,0.492857142,0.222222222,94.69428399268617,4.153846375463866,4.394057254190563,4.679724817925655,3.278887369860477,0.35008570551872253,"Nathan Eovaldi",9132,543135
