Name,Org,Pos,Age,PA,AB,Pitches,xwOBA,wOBA,PS Score,Agg,Contact Quality,Max Velo,xwOBA,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,BA,OBP,SLG,BABIP,PA/Barrels,Barrels,BB,2B,3B,Hits,HR,K,Swings,Whiffs,Swing%,Z-Swing%,Z-Contact%,SwStr%
Eduardo Rivera,BOS,RP,22,45,41,191,.253,.265,0.9748743718592965,0.7578942977862045,0.6711683417085427,0.3133245382585752,0.907035175879397,0.5251256281407035,0.8128140703517588,0.9547738693467337,0.9874371859296482,0.9899497487437185,0.5829145728643216,0.3341708542713568,0.9660804020100503,0.7625628140703518,0.9585427135678392,0.907651715039578,0.3065326633165829,0.8190954773869347,0.9899497487437185,.227,.280,0,4.4,41.592920353982294,88.1,41.7,40,7.6,40.4,.244,.289,.293,.417,0,0,2,2,0,10,0,18,99,40,51.832460732984295,66.66666666666666,75,20.94240837696335
Blade Tidwell,SFG,SP,24,33,28,163,.304,.303,0.9723618090452262,0.6458079204288815,0.6485552763819096,0.8225593667546174,0.5904522613065326,0.7022613065326633,0.5866834170854272,0.1984924623115578,0.4685929648241206,0.7989949748743719,0.8919597989949749,0.9170854271356784,0.6922110552763819,0.10552763819095477,0.9748743718592965,0.7005277044854882,0.3442211055276382,0.9849246231155779,0.9824120603015075,.206,.334,10.5,12.1,30.952380952380953,84.7,26.3,27.3,19.1,42.3,.179,.303,.357,.222,6.0606060606060606,2,4,2,0,5,1,9,78,33,47.852760736196316,65.82278481012658,63.46153846153846,20.24539877300613
Robby Snelling,MIA,SP,22,109,95,490,.266,.217,0.9698492462311558,0.7076493947309105,0.5882537688442212,0.6701846965699209,0.864321608040201,0.8756281407035176,0.7625628140703518,0.14321608040201006,0.4321608040201005,0.7562814070351759,0.7035175879396985,0.7437185929648241,0.9711055276381909,0.9309045226130653,0.6381909547738693,0.2150395778364116,0.9221105527638191,0.5866834170854272,0.47738693467336685,.176,.296,11.8,12.8,30.07518796992481,87.3,33.3,40.4,1.9,29.4,.116,.229,.221,.184,5.504587155963304,6,14,4,0,11,2,44,201,59,41.020408163265294,54.01785714285714,80.16528925619834,12.040816326530614
Tanner McDougal,CHW,SP,23,98,80,390,.314,.270,0.9673366834170855,0.6082363223328605,0.6347361809045227,0.983509234828496,0.507537688442211,0.7587939698492462,0.5628140703517588,0.4082914572864322,0.3793969849246231,0.12562814070351758,0.7650753768844221,0.8027638190954773,0.7047738693467337,0.42085427135678394,0.8793969849246231,0.4795514511873351,0.964824120603015,0.964824120603015,0.8467336683417085,.199,.338,7.4,13.3,20.689655172413797,86.7,31.5,27.6,13.9,34.9,.150,.296,.263,.192,4.081632653061225,4,13,3,0,12,2,27,175,61,44.87179487179488,51.81518151815182,68.78980891719746,15.64102564102564
Max Rajcic,STL,SP,24,101,90,423,.279,.291,0.964824120603015,0.7598115909362114,0.8586683417085427,0.7031662269129287,0.7964824120603015,0.5979899497487438,0.75,0.7876884422110553,0.8115577889447236,0.7361809045226131,0.9170854271356784,0.9798994974874372,0.7512562814070352,0.6658291457286433,0.6206030150753769,0.5118733509234829,0.4899497487437186,0.6080402010050251,0.6407035175879398,.218,.298,3.4,7.9,29.824561403508767,84.4,19,28.7,9.5,29.2,.222,.307,.322,.317,1.98019801980198,2,8,6,0,20,1,29,192,56,45.39007092198582,63.58974358974358,79.83870967741935,13.238770685579196
Josh Ekness,MIA,RP,24,59,51,240,.289,.309,0.9623115577889447,0.7916976041155644,0.8068467336683417,0.9551451187335092,0.7110552763819096,0.550251256281407,0.7286432160804021,0.8040201005025126,0.6331658291457286,0.9246231155778895,0.9170854271356784,0.7776381909547738,0.9258793969849246,0.8077889447236181,0.7650753768844221,0.816622691292876,0.39949748743718594,0.7060301507537688,0.8655778894472361,.224,.304,3.2,10.2,34.42622950819672,84.4,32.3,35.6,7,31.9,.255,.339,.333,.400,1.6949152542372878,1,6,1,0,13,1,21,119,38,49.58333333333334,65.2542372881356,77.92207792207795,15.833333333333332
Gage Jump,ATH,SP,23,128,103,564,.313,.385,0.9597989949748744,0.5985802473228058,0.6099246231155779,0.8852242744063324,0.5251256281407035,0.5979899497487438,0.6922110552763819,0.6758793969849246,0.2964824120603015,0.2613065326633166,0.5188442211055276,0.5527638190954773,0.8505025125628141,0.5804020100502513,0.7462311557788944,0.4775725593667546,0.2650753768844221,0.7814070351758794,0.7587939698492462,.218,.312,4.7,14.8,23.63013698630137,88.5,37.5,32,11.1,31.6,.272,.398,.466,.400,2.34375,3,19,6,1,28,4,41,253,80,44.858156028368796,67.64705882352942,76.08695652173914,14.184397163120568
Alex Cook,TBR,SP,25,49,43,200,.316,.324,0.957286432160804,0.5267752571122984,0.22204773869346733,0.8225593667546174,0.4849246231155779,0.4748743718592965,0.37814070351758794,0.1871859296482412,0.6331658291457286,0.6683417085427136,0.031407035175879394,0.2914572864321608,0.8052763819095478,0.6017587939698492,0.9422110552763819,0.9182058047493404,0.11557788944723618,0.9597989949748744,0.9773869346733668,.231,.384,10.7,10.2,28.88888888888889,93.2,42.9,30.6,10.9,38.5,.209,.306,.419,.269,6.1224489795918355,3,5,3,0,9,2,15,104,40,52,70.9090909090909,69.23076923076923,20
Logan Henderson,MIL,SP,24,70,61,286,.242,.219,0.9547738693467337,0.6567133711654137,0.8002512562814069,0.5112137203166227,0.9346733668341709,0.8919597989949749,0.9396984924623115,0.8316582914572864,0.41959798994974873,0.19597989949748743,0.621859296482412,0.8077889447236181,0.9472361809045227,0.07788944723618091,0.7010050251256281,0.4696569920844327,0.8417085427135679,0.9673366834170855,0.7010050251256281,.173,.231,2.9,12.9,22.549019607843142,87.9,31.4,37.1,20.1,30.5,.164,.271,.164,.286,1.4285714285714286,1,9,0,0,10,0,26,128,39,44.75524475524475,57.06521739130434,68.57142857142857,13.636363636363635
Angel Bastardo,BOS,RP,23,47,41,186,.277,.303,0.9522613065326633,0.69653787848654,0.7368090452261307,0.7981530343007915,0.8128140703517588,0.6419597989949749,0.8027638190954773,0.7374371859296482,0.4321608040201005,0.9120603015075377,0.621859296482412,0.785175879396985,0.8982412060301508,0.056532663316582916,0.8592964824120602,0.6358839050131926,0.6846733668341709,0.49246231155778897,0.8869346733668342,.214,.283,4,12.8,34.02061855670103,87.9,32,34,21.5,34.5,.220,.319,.341,.360,2.127659574468085,1,6,5,0,9,0,16,87,30,46.774193548387096,60.67415730337079,81.48148148148148,16.129032258064516
