Name,OttoneuID,"FG MajorLeagueID","FG MinorLeagueID","MLB Org",Position(s),"Avg Salary","Median Salary","Min Salary","Max Salary","Last 10",Roster%
"Trevor Megill",20989,17722,sa828803,MIL,RP,$6.38,$6.00,$4,$13,$7.20,97.902
"Spencer Steer",37216,26323,sa3010586,CIN,1B/OF,$6.35,$6.00,$1,$15,$5.10,99.301
"Kyle Stowers",37480,26151,sa1115829,MIA,OF,$6.34,$6.00,$1,$17,$9.30,100
"Marcelo Mayer",40095,29668,sa3017114,BOS,2B/SS/3B,$6.33,$6.00,$2,$13,$4.90,98.601
"Francisco Alvarez",37427,26121,sa3010862,NYM,C,$6.30,$6.00,$1,$16,$6.70,96.503
"Colson Montgomery",40262,29712,sa3017170,CHW,SS/3B,$6.27,$6.00,$2,$16,$8.10,100
"Corbin Burnes",23813,19361,sa873673,ARI,SP,$6.25,$5.00,$1,$22,$5.40,98.601
"Xander Bogaerts",13117,12161,sa550735,SDP,SS,$6.20,$6.00,$1,$15,$4.90,100
"Edward Cabrera",33325,21690,sa920423,CHC,SP,$6.18,$5.00,$3,$17,$11.10,99.301
"Drake Baldwin",42221,31539,sa3019920,ATL,C,$6.17,$6.00,$3,$21,$13.50,100
"Justin Steele",21039,17312,sa828960,CHC,RP,$6.09,$6.00,$1,$21,$5.20,88.811
"Kenley Jansen",2916,3096,sa295200,DET,RP,$6.08,$6.00,$1,$18,$4.30,93.706
"Grant Taylor",44544,33927,sa3023634,CHW,SP/RP,$6.06,$5.00,$2,$17,$7.50,98.601
"Jo Adell",23792,20220,sa3004837,LAA,OF,$6.06,$5.00,$3,$17,$9.60,99.301
"Ryan Walker",35205,20423,sa3007594,SFG,RP,$6.05,$6.00,$1,$13,$5.10,79.72
"Yu Darvish",15556,13074,sa379610,SDP,SP,$6.00,$6.00,$1,$11,$2.80,1.399
"Jordan Hicks",23864,19618,sa875019,CHW,SP/RP,$6.00,$6.00,$6,$6,$2.00,0.699
"Agustin Ramirez",36325,26546,sa3009276,"MIA AAA",C,$6.00,$6.00,$1,$15,$6.10,66.434
"Javier Assad",33306,21741,sa920249,CHC,SP,$6.00,$6.00,$5,$7,$7.10,1.399
"Braxton Ashcraft",35776,23793,sa3008470,PIT,SP/RP,$5.99,$6.00,$1,$14,$7.10,100
"Jose Soriano",32009,22100,sa916702,LAA,SP,$5.97,$6.00,$1,$11,$3.70,100
"Carter Jensen",40505,29478,sa3017339,KCR,C,$5.93,$5.00,$3,$23,$7.10,99.301
"Noelvi Marte",36030,26517,sa3008745,"CIN AAA",3B/OF,$5.93,$5.00,$2,$14,$4.10,55.944
"Andrew Painter",40829,30091,sa3017880,PHI,SP,$5.90,$6.00,$1,$13,$6.30,99.301
"Konnor Griffin",45769,35376,sa3065496,PIT,SS,$5.90,$5.00,$2,$29,$15.50,100
"Sal Stewart",42358,31505,sa3020130,CIN,1B/2B/3B,$5.83,$5.00,$1,$16,$10.30,100
"Emmet Sheehan",40552,29839,sa3017416,LAD,SP,$5.79,$5.00,$3,$22,$10.00,98.601
"Cam Smith",45714,35108,sa3025358,HOU,OF,$5.78,$5.00,$1,$17,$5.70,100
"Mickey Moniak",23639,19956,sa917920,COL,OF,$5.71,$5.00,$1,$17,$5.20,100
"Daylen Lile",40714,29995,sa3017698,WSN,OF,$5.71,$5.00,$1,$15,$7.20,100
"Bryce Eldridge",44147,33390,sa3022757,SFG,1B,$5.70,$5.00,$2,$10,$5.30,99.301
"Luke Keaschall",44057,33321,sa3022614,MIN,2B,$5.70,$5.00,$3,$24,$9.10,100
"Brenton Doyle",36803,25479,sa3009965,COL,OF,$5.67,$5.00,$1,$12,$5.20,58.042
