Name,OttoneuID,"FG MajorLeagueID","FG MinorLeagueID","MLB Org",Position(s),"Avg Salary","Median Salary","Min Salary","Max Salary","Last 10",Roster%
"Robert Suarez",22078,30115,sa869798,ATL,RP,$7.75,$7.00,$2,$24,$7.70,100
"TJ Friedl",23788,19522,sa943754,CIN,OF,$7.65,$7.00,$1,$16,$4.50,88.811
"Colt Keith",38374,27899,sa3014474,DET,1B/2B/3B,$7.65,$7.00,$1,$15,$6.10,99.301
"Jasson Dominguez",37635,28080,sa3014696,NYY,OF,$7.60,$8.00,$1,$18,$6.50,97.902
"Bubba Chandler",40564,29868,sa3017428,PIT,SP,$7.56,$7.00,$4,$16,$12.60,99.301
"Drew Rasmussen",35922,25385,sa829799,TBR,SP,$7.55,$7.00,$2,$16,$7.60,100
"Wilyer Abreu",27058,23772,sa3005082,BOS,OF,$7.55,$7.00,$1,$26,$10.00,100
"Cade Smith",38754,27867,sa3015086,CLE,RP,$7.53,$7.00,$5,$20,$13.70,100
"Maikel Garcia",26154,22715,sa3003246,KCR,2B/SS/3B/OF,$7.52,$6.00,$3,$45,$23.10,100
"Kyle Bradish",35874,24586,sa3008605,BAL,SP,$7.51,$7.00,$3,$20,$13.20,97.902
"Aroldis Chapman",5644,10233,sa523977,BOS,RP,$7.43,$7.00,$3,$13,$9.10,100
"Cam Schlittler",43589,32095,sa3021981,NYY,SP,$7.42,$7.00,$3,$16,$9.40,100
"Trey Yesavage",45790,35456,sa3045705,TOR,SP/RP,$7.35,$7.00,$3,$19,$12.10,100
"Jack Flaherty",20920,17479,sa828681,DET,SP,$7.35,$7.00,$1,$14,$6.80,76.224
"Shane Bieber",23814,19427,sa873698,TOR,SP,$7.35,$7.00,$1,$16,$5.50,93.007
"David Bednar",31951,19569,sa915715,NYY,RP,$7.33,$7.00,$3,$26,$11.70,100
"Brandon Woodruff",23693,16162,sa597893,MIL,SP,$7.28,$7.00,$1,$16,$7.50,95.804
"Grayson Rodriguez",33612,24492,sa3008130,"LAA CPX",SP/RP,$7.28,$7.00,$1,$15,$4.40,88.112
"Xavier Edwards",33645,22266,sa3007018,MIA,2B/SS,$7.24,$7.00,$1,$20,$6.80,100
"Robbie Ray",14941,11486,sa549085,SFG,SP,$7.20,$7.00,$1,$16,$7.10,99.301
"Travis Bazzana",45709,34967,sa3025129,CLE,2B,$7.14,$7.00,$1,$17,$6.50,100
"Jac Caglianone",45720,35041,sa3025245,KCR,1B/OF,$7.03,$6.00,$3,$26,$16.70,100
"Royce Lewis",23796,20437,sa3004259,MIN,3B,$7.03,$6.00,$1,$18,$7.80,89.51
"Jakob Marsee",42169,31370,sa3019868,MIA,OF,$7.03,$6.00,$3,$16,$5.40,93.706
"Dillon Tate",18482,17796,sa874239,"TOR AAA",RP,$7.00,$7.00,$7,$7,$1.40,0.699
"Tommy Kahnle",14809,11384,sa526323,"BOS AAA",RP,$7.00,$7.00,$7,$7,$2.10,0.699
"Drew Thorpe",42728,31967,sa3020678,CHW,RP,$7.00,$7.00,$7,$7,$2.00,0.699
"Nolan McLean",44336,33703,sa3023053,NYM,SP,$6.98,$6.00,$3,$40,$18.60,100
"Ceddanne Rafaela",33907,24262,sa3005581,BOS,2B/OF,$6.96,$7.00,$1,$18,$7.50,95.804
"Colton Cowser",39978,29591,sa3017018,BAL,OF,$6.96,$7.00,$1,$18,$4.20,46.853
