Name,Org,Pos,Age,PA,AB,Pitches,xwOBA,wOBA,PS Score,Agg,Contact Quality,Max Velo,xwOBA,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,BA,OBP,SLG,BABIP,PA/Barrels,Barrels,BB,2B,3B,Hits,HR,K,Swings,Whiffs,Swing%,Z-Swing%,Z-Contact%,SwStr%
Ben Jacobs,DET,SP,21,63,57,274,.214,.182,0.9371069182389937,0.6810272536687632,0.5817610062893082,0.5622641509433962,0.9622641509433962,0.89937106918239,0.7421383647798742,0.44654088050314467,0.6981132075471698,0.610062893081761,0.6729559748427673,0.46540880503144655,0.8742138364779874,0.3270440251572327,0.9119496855345912,0.7660377358490567,0.1069182389937107,0.9308176100628931,0.9685534591194969,.138,.242,6.1,9.5,27.27272727272727,86.2,36.4,38.1,14,42,.140,.222,.140,.242,3.1746031746031744,2,6,0,0,8,0,24,138,58,50.36496350364965,71.83098591549296,67.64705882352942,21.16788321167883
Gage Wood,PHI,SP,22,75,66,302,.218,.270,0.9308176100628931,0.770230607966457,0.6729559748427673,0.8905660377358491,0.9559748427672956,0.8490566037735849,0.8836477987421384,0.6886792452830188,0.610062893081761,0.7232704402515723,0.5534591194968553,0.5660377358490566,0.89937106918239,0.7358490566037735,0.8867924528301887,0.6943396226415094,0.3050314465408805,0.8616352201257862,0.9371069182389937,.145,.202,2.9,10.7,29.72972972972973,86.9,34.3,40,5.3,40.3,.182,.280,.303,.314,1.3333333333333337,1,8,3,1,12,1,30,149,60,49.33774834437087,68.18181818181817,71.42857142857143,19.86754966887417
Juan De La Cruz,MIA,RP,21,36,30,153,.223,.312,0.9245283018867925,0.756027253668763,0.64937106918239,0.8679245283018868,0.9339622641509434,0.9685534591194969,0.9025157232704403,0.1918238993710692,0.4088050314465409,0.5471698113207547,0.7327044025157232,0.7704402515723271,0.9937106918238994,0.8553459119496856,0.89937106918239,0.14339622641509436,0.9622641509433962,0.8364779874213837,0.7232704402515723,.109,.190,10,13.9,26.02739726027397,85.7,30,55.6,2.2,40.7,.200,.333,.333,.556,2.7777777777777777,1,5,1,0,6,1,20,59,24,38.56209150326797,50,72.5,15.68627450980392
Elier Morillo,MIA,RP,20,62,50,254,.224,.302,0.9182389937106918,0.7628930817610063,0.7578616352201257,0.3716981132075472,0.9182389937106918,0.9811320754716981,0.9811320754716981,0.5471698113207547,0.6855345911949685,0.49056603773584906,0.8710691823899371,0.6320754716981132,0.9685534591194969,0.720125786163522,0.9874213836477987,0.16981132075471694,0.9056603773584906,0.9874213836477987,0.9056603773584906,.107,.134,4.8,9.7,25.384615384615387,84.1,33.3,46.8,5.9,48.5,.180,.339,.280,.400,1.6129032258064515,1,6,2,0,9,1,29,99,48,38.976377952755904,53.225806451612904,60.60606060606061,18.89763779527559
Patrick Galle,STL,RP,22,23,17,103,.221,.185,0.9119496855345912,0.630188679245283,0.4787735849056604,0.9773584905660376,0.9465408805031447,1,0.9937106918238994,0.8962264150943396,0.11006289308176101,0.5786163522012578,0.018867924528301886,0.006289308176100629,1,0.03459119496855346,1,0.4339622641509434,0.5408805031446541,0.9685534591194969,0.9937106918238994,.047,.066,0,21.7,26.785714285714285,93.8,66.7,60.9,25.3,55.6,.000,.261,.000,.000,0,0,5,0,0,0,0,14,45,25,43.68932038834952,63.829787234042556,63.33333333333333,24.271844660194176
James Ellwanger,MIN,SP,21,44,39,174,.241,.142,0.9056603773584906,0.6484276729559748,0.5298742138364779,0.9226415094339624,0.8427672955974843,0.6226415094339622,0.7735849056603774,0.8962264150943396,0.5440251572327044,0.4276729559748428,0.22012578616352202,0.22955974842767296,0.7672955974842768,0.9119496855345912,0.6226415094339622,0.4452830188679245,0.4591194968553459,0.5094339622641509,0.6226415094339622,.185,.229,0,11.4,24.444444444444446,89.4,41.7,34.1,0.8,32.5,.077,.182,.077,.125,0,0,5,0,0,3,0,15,77,25,44.2528735632184,65.47619047619048,78.18181818181819,14.367816091954026
Julio Mendez,MIA,SP,21,95,81,366,.254,.279,0.89937106918239,0.6466981132075471,0.8427672955974843,0.4113207547169812,0.7830188679245284,0.6226415094339622,0.8364779874213837,0.8962264150943396,0.4339622641509434,0.20754716981132076,0.7138364779874213,0.9245283018867925,0.7547169811320755,0.39308176100628933,0.7830188679245284,0.3018867924528302,0.7295597484276729,0.7484276729559748,0.6918238993710691,.185,.219,0,12.6,20.35928143712575,85.8,22.4,33.7,12.7,36.6,.222,.337,.235,.367,0,0,12,1,0,18,0,32,153,56,41.80327868852459,59.79899497487438,73.94957983193278,15.300546448087433
Kolten Smith,MIN,SP,22,48,43,190,.234,.287,0.8930817610062893,0.62541928721174,0.52437106918239,0.4735849056603774,0.8679245283018868,0.6540880503144654,0.6477987421383647,0.5943396226415094,0.779874213836478,0.4339622641509434,0.3710691823899371,0.48427672955974843,0.8930817610062893,0.34276729559748426,0.9622641509433962,0.43018867924528303,0.33647798742138363,0.8930817610062893,0.9245283018867925,.183,.270,4,8.3,24.52830188679245,88.3,36,39.6,13.6,44.6,.233,.292,.349,.375,2.083333333333333,1,4,2,0,10,1,19,83,37,43.684210526315795,67.85714285714286,70.17543859649122,19.473684210526315
Nelfy Ynfante,STL,RP,21,35,33,131,.153,.118,0.8867924528301887,0.7628406708595389,0.9567610062893082,0.5849056603773585,0.9905660377358491,0.9339622641509434,0.9685534591194969,0.8962264150943396,0.9056603773584906,0.8018867924528302,0.9622641509433962,1,0.6918238993710691,0.025157232704402517,0.39308176100628933,0.6566037735849056,0.6666666666666666,0.39622641509433965,0.4968553459119497,.128,.145,0,5.7,31.03448275862069,81.7,9.5,31.4,25.5,28.6,.091,.143,.091,.136,0,0,2,0,0,3,0,11,63,18,48.091603053435115,61.64383561643836,80,13.740458015267176
Levi Sterling,PIT,SP,19,112,98,413,.302,.337,0.8805031446540881,0.4794025157232704,0.3954402515723271,0.4981132075471698,0.46540880503144655,0.4276729559748428,0.3238993710691824,0.330188679245283,0.610062893081761,0.7547169811320755,0.4559748427672956,0.4716981132075472,0.5157232704402516,0.3018867924528302,0.5974842767295597,0.4792452830188679,0.6981132075471698,0.3836477987421384,0.60062893081761,.213,.358,7.2,10.7,30.373831775700932,87.7,36.2,26.8,14.2,31.7,.235,.321,.439,.281,4.464285714285714,5,12,5,0,23,5,30,186,59,45.0363196125908,60.80402010050251,80.16528925619834,14.285714285714285
