Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Joey Loperfido","HOU",20,66,0,7,7,1,0.09090909,0.287878787,0.086206897,0.4,0.275862068,0.348484848,0.362068965,0.322535618688121,0.27916185783617425,103.444272114005,0.2059464305639267,0.472219778032491,-0.6985841393470764,0.21367147246928694,"Joey Loperfido",29630,694388
"Christian Yelich","MIL",16,60,1,10,10,3,0.083333333,0.266666666,0.127272728,0.394736842,0.29090909,0.35,0.418181818,0.3311781420789916,0.27409604500079976,111.14787279200036,0.7718738615512848,1.54618332893305,-1.4224734753370285,0.20867624977521107,"Christian Yelich",11477,592885
"Marcelo Mayer","BOS",37,124,1,9,8,2,0.072580645,0.177419354,0.081081081,0.280898876,0.234234234,0.300813008,0.315315315,0.28229182425553234,0.278531090157931,71.6021541641158,0.09077996015548706,-4.033929753074684,1.7298475205898285,0.20802709615389225,"Marcelo Mayer",29668,691785
"Luke Keaschall","MIN",42,175,1,18,15,9,0.102857142,0.154285714,0.071895425,0.259842519,0.222222222,0.308571428,0.294117647,0.27776715810271513,0.28075519186912934,71.96424068591779,2.4844308644533157,-3.2625093430646173,-0.8224680423736572,0.20780606151865683,"Luke Keaschall",33321,807712
"Luis Robert Jr.","NYM",24,98,2,10,8,2,0.132653061,0.173469387,0.105882353,0.257575757,0.223529411,0.326530612,0.329411764,0.30417255905209756,0.3240524603396046,95.31027450612206,-0.9256886094808578,-1.457729256568609,0.3655524915084243,0.20759992359620133,"Luis Robert Jr.",20043,673357
"Jorge Barrosa","ARI",32,88,1,10,7,0,0.079545454,0.295454545,0.179487179,0.274509803,0.192307692,0.26744186,0.371794871,0.2851673524047053,0.22928532888722974,78.03131583377258,0.1883179247379303,-2.049671510381337,1.2649125158786774,0.20659093409132526,"Jorge Barrosa",23968,678489
"Tyler Soderstrom","ATH",39,168,5,22,20,1,0.107142857,0.214285714,0.194630873,0.229357798,0.201342281,0.285714285,0.395973154,0.30094396318504196,0.32135283228862715,85.5323156540204,1.1069671213626862,-1.7400797272094408,-2.1170916855335236,0.20612432468758102,"Tyler Soderstrom",27467,691016
"Jakob Marsee","MIA",42,185,2,22,13,12,0.129729729,0.248648648,0.09032258,0.24074074,0.180645161,0.304347826,0.270967741,0.2741580411143925,0.2822389446321081,70.16710756975412,0.6788315176963806,-5.710249645496537,1.7492172718048096,0.19637333512065563,"Jakob Marsee",31370,805300
"Edmundo Sosa","PHI",23,67,1,6,11,2,0.029850746,0.179104477,0.092307692,0.307692307,0.261538461,0.283582089,0.353846153,0.2845162642535879,0.34026439154326027,76.95550401177044,0.41979989409446716,-1.3675654432109956,1.0244649946689606,0.18347919598505363,"Edmundo Sosa",17022,624641
"Jorbit Vivas","WSN",32,90,0,13,3,0,0.066666666,0.133333333,0.038961039,0.287878787,0.246753246,0.329545454,0.285714285,0.28909605606035754,0.2796057137576016,81.7227402592982,-0.06804770231246948,-1.9723018392779403,0.8989959210157394,0.18341720108043835,"Jorbit Vivas",23917,678391
"Jake Fraley","TBR",27,87,2,6,5,3,0.091954022,0.275862068,0.164556962,0.320754716,0.240506329,0.310344827,0.405063291,0.3196024990629876,0.2867773854455283,100.02275465173629,0.41017936915159225,0.4124982356842615,-1.6841759085655212,0.18146057701164078,"Jake Fraley",19260,641584
"Derek Hill","CHW",32,50,3,7,4,4,0.1,0.3,0.204545454,0.307692307,0.25,0.326530612,0.454545454,0.34713125837092496,0.3573392629623413,119.18704202898525,-0.10821659862995148,1.0155195155071237,-1.0108523964881897,0.1800070139993667,"Derek Hill",16947,656537
"Ketel Marte","ARI",40,170,5,20,15,0,0.070588235,0.176470588,0.151898734,0.235772357,0.215189873,0.270588235,0.367088607,0.2847030492389903,0.3448310852050781,77.71483901487665,0.06271600723266602,-4.322954615506152,0.6422819346189499,0.17625040391140817,"Ketel Marte",13613,606466
"Adam Frazier","LAA",30,71,1,13,6,0,0.084507042,0.28169014,0.161290323,0.341463414,0.241935483,0.318840579,0.403225806,0.32317020409349084,0.2381548121355582,102.1325944071774,0.01820545643568039,0.19556432993556738,-0.9629280492663383,0.17592977528369277,"Adam Frazier",15223,624428
